Item #,Component Description,Part Number / Specification,Designator,Quantity,Estimated Cost (INR)
1,Edge AI Processing Board,Arduino UNO Q,U1,1,6749
2,AC Current Sensor (0-20A),SCT-013-000 / Hall Sensor,U2,1,450
3,AC Precision Voltage Sensor Module,ZMPT101B Module,U3,1,250
4,Isolated AC-DC Power Supply Module,Hi-Link 5V/1A (HLK-PM01),PS1,1,300
5,Solid State / Mechanical Relay Module,5V 1-Channel Relay (10A-16A 250VAC),RL1,1,120
6,Optocoupler Isolator,PC817 / 4N35,ISO1,1,30
7,Status Indication LEDs (Green/Red),3mm Through-Hole LEDs,D1-D2,2,10
8,Passive Resistors & Capacitors,Assorted SMD/THT (Burden & Filter),R1-R5 / C1-C3,8,40
9,Standard 3-Pin AC Plug & Socket Enclosure,16A Fire-Retardant Casing,ENC1,1,250
